title,summary,starring,director,genre
Marry Me at Christmas,"""A bridal boutique owner (Rachel Skarsten), who is deep in the flurry of planning an exquisite Christmas wedding, is unexpectedly swept off her feet by the bride's brother (Trevor Donovan).""","""Rachel Skarsten, Trevor Donovan, Emily Tennant, Blair Penner""",Terry Ingram,"""Comedy, Family, Romance"""
Christmas in Love ,"""Ellie Hartman, an aspiring crafter working in her small town's bakery shows Nick Carlingson, the new big-city CEO during his visit to the bakery's main floor, that it's people and not machines that make the business a success.""","""Brooke D'Orsay, Daniel Lissing, Mary-Margaret Humes, David Keeley""",Don McBrearty ,"""Drama, Romance"""
Once Upon a Holiday ,"""When a Princess escapes her entourage to explore New York City over Christmas, she meets a young man who shows the beautiful stranger his side of the city.""","""Briana Evigan, Paul Campbell, Greg Evigan, Jacqueline Samuda""",James Head,"""Comedy, Drama, Romance"""
A Christmas Wish,"""Abandoned by her husband a few days before Christmas, Martha Evans travels cross-country with the kids in search of work.""","""Kristy Swanson, Edward Herrmann, K.C. Clyde, Tess Harper""",Craig Clyde,"""Comedy, Drama, Romance"""
My Christmas Love ,"""A hopeless romantic who can't ever seem to give a guy a real chance begins receiving each of the '12 Days of Christmas' as gifts anonymously at her door and begins to believe that the mystery suitor may finally live up to her expectations.""","""Meredith Hagner, Bobby Campo, Megan Park, Aaron O'Connell""",Jeff Fisher,"""Comedy, Romance"""
The Christmas Shepherd ,"""The Christmas Shepherd is a story about a widow of a veteran, Sally Brown, who is a published children's book author. After her husband dies she is left with just 'Buddy,' his German Shepherd. After a severe storm, Buddy runs off afraid setting in motion a series of events that are sure to unite more than just Buddy and Sally.""","""Teri Polo, Martin Cummins, Jordyn Ashley Olson, Jill Teed""",Terry Ingram,Romance
A Nutcracker Christmas ,"""When her niece is cast in The Philadelphia Ballet's production of the Nutcracker, a jaded ex-ballerina is forced to come to terms with the life and love she left behind.""","""Amy Acker, Sascha Radetsky, Sophia Lucia, Catherine Mary Stewart""",Michael Lembeck,"""Adventure, Drama, Family"""
One Starry Christmas ,"""When journeying by bus to surprise her boyfriend for Christmas, Holly meets a charming cowboy who accompanies her.""","""Sarah Carter, Damon Runyan, Paul Popowich, Kathleen Laskey""",John Bradshaw,"""Comedy, Drama, Family"""
A Gift for Christmas,"""Based on the book by Melissa Hill, Darcy finds romance with a handsome stranger with amnesia.""","""Ali Liebert, Peter Porte, Tina Lifford, Kristin York""",Kevin Fair ,"""Drama, Romance"""
Christmas Dance,"""Jack (Andrew McCarthy) is an executive in a financial brokerage firm trying to impress the firms president, Drew Clayton (Chris Gillett), in hopes of a promotion. However, Jack is dating the fabulously rich and elegant Demi Clayton (Stephanie Mills), who happens to be Drew's daughter. Although Demi's mother Clarisse (Jane Moffat) doesn't necessarily approve of Jack and would prefer her daughter to date a man within their social circle, Jack still plans on proposing. Trying to create the perfect proposal, Jack signs up for dance lessons in preparation for his proposal to Demi at her father's lavish annual Christmas Dance. But when sparks start to fly between Jack and his dance instructor, Christine (Michelle Nolden), Jack will have to make some important decisions before it is too late.""","""Andrew McCarthy, Michelle Nolden, Stephanie Anne Mills, Mary Long""",John Bradshaw,"""Family, Romance"""
